input_date,weekofyear,input_week_day,puin,cnt
20191011,41,5,1685160674,96
20190824,34,6,1685160637,24
20190830,35,5,2976786729,547
20190910,37,2,1683952717,951
20190928,39,6,1781809449,1039
20190905,36,4,2931323584,285
20191004,40,5,1685161287,200
20190828,35,3,1685160637,318
20190917,38,2,1685161147,222
20191012,41,6,1685159830,47
20190928,39,6,3107361624,11
20190827,35,2,1761713149,549
20190917,38,2,2713129639,219518
20190919,38,4,2478637939,835
20190930,40,1,1781809788,1093
20190819,34,1,2976786729,671
20190901,35,7,2158351255,625
20191006,40,7,1781806667,881
20190905,36,4,1542698720,399
20190913,37,5,1761713544,398
20191002,40,3,3533876209,5
20190828,35,3,1761714521,494
20190911,37,3,1781810030,1330
20190821,34,3,1685161748,393
20190901,35,7,3357604587,469
20190921,38,6,3021573833,1154
20190823,34,5,3507123484,606
20190903,36,2,1685160637,336
20190909,37,1,3107361624,548
20190908,36,7,1761714989,299
20190909,37,1,1781806909,1244
20190820,34,2,1781807461,1599
20190908,36,7,1781809449,1175
20190902,36,1,1761715749,238
20191001,40,2,1781808143,1477
20191005,40,6,1781808143,644
20191010,41,4,1685161287,111
20190816,33,5,3428867428,509
20190919,38,4,1685161819,274
20190903,36,2,1761714552,295
20190830,35,5,1761713838,375
20190910,37,2,1761713544,388
20190915,37,7,1761714989,354
20190823,34,5,1781809449,1464
20190829,35,4,1781807216,1654
20190817,33,6,2478637939,518
20190828,35,3,1685161819,327
20190905,36,4,1781807216,1235
20190907,36,6,1685160637,287
20190926,39,4,1685160674,223
20190816,33,5,1761714657,779
20190819,34,1,3592397569,916
20190914,37,6,1781809819,934
20190821,34,3,1685160674,372
20190831,35,6,3357604587,248
20191008,41,2,1781807216,1280
20190909,37,1,1761714989,436
20190926,39,4,1685161748,239
20190910,37,2,2158351255,614
20190916,38,1,1761713334,347
20190830,35,5,1759863460,889
20190906,36,5,1685160637,270
20190911,37,3,1685160674,212
20190827,35,2,1781807441,1161
20190928,39,6,1781808832,961
20191002,40,3,2713129639,217512
20190820,34,2,1001000197449,12
20190903,36,2,1685161147,274
20191011,41,5,1001000286087,944
20191016,42,3,3473823790,3396
20190824,34,6,1761714609,606
20190829,35,4,1781807461,1607
20190909,37,1,1761714521,424
20190905,36,4,1781808143,1222
20190831,35,6,1761714245,351
20190831,35,6,1761713544,373
20190922,38,7,1685160674,287
20190924,39,2,1685161374,285
20191011,41,5,1781808832,1178
20190912,37,4,1685161147,253
20190912,37,4,1685159830,271
20191006,40,7,1781807016,905
20191002,40,3,1001000286087,197
20191002,40,3,2158351255,620
20191003,40,4,1685161287,176
20191001,40,2,1781808703,1415
20191016,42,3,2158351255,618
20190917,38,2,1781808143,1335
20190917,38,2,3021573833,1172
20190930,40,1,1685161793,187
20190911,37,3,2269829235,420
20190901,35,7,1542698720,227
20190821,34,3,1761713334,684
20190831,35,6,1685161748,245
20190816,33,5,3592397569,511
20190823,34,5,1781808703,1373
20190921,38,6,2713129639,229610
20190820,34,2,1685160674,504
20190928,39,6,1781806251,947
20190925,39,3,1685160674,290
20190912,37,4,3428867428,565
20190914,37,6,2164312964,137
20190919,38,4,2713129639,219208
20191009,41,3,3321779464,148
20190904,36,3,1761713014,204
20191018,42,5,1001000037396,271
20190819,34,1,2164312964,381
20190917,38,2,1685161793,242
20190923,39,1,2931323584,389
20190923,39,1,1992602239,2223
20190903,36,2,1761713544,253
20190914,37,6,2976786729,172
20190923,39,1,1001000286087,268
20190827,35,2,1781809788,1210
20190902,36,1,1781807461,1386
20190904,36,3,1781810030,1310
20190906,36,5,2931323584,244
20190826,35,1,1781807016,1248
20191015,42,2,1001000037396,348
20190818,33,7,1761713488,621
20190828,35,3,3357604587,743
20190818,33,7,1761714657,575
20191004,40,5,2269829235,120
20191006,40,7,1781810497,765
20191007,41,1,3357604587,282
20190906,36,5,1685159830,310
20190906,36,5,1781808143,1558
20190911,37,3,1781808471,1379
20190829,35,4,3533876209,396
20190817,33,6,3357604587,684
20190903,36,2,1759863460,539
20190903,36,2,1761714540,242
20190915,37,7,1685161147,230
20191001,40,2,3533876209,7
20190818,33,7,1001000286087,8475
20190821,34,3,1781807945,1426
20190822,34,4,3516139149,444
20190826,35,1,1781810443,1351
20190903,36,2,1761714245,257
20190907,36,6,1781808832,1008
20190929,39,7,3021573833,1383
20190821,34,3,3531033244,500
20190914,37,6,1761715377,336
20191008,41,2,2164312964,483
20190929,39,7,1781806667,1122
20190909,37,1,1761713545,405
20190826,35,1,1761714989,717
20190906,36,5,1761715749,336
20190920,38,5,1542698720,496
20190903,36,2,3321779464,231
20190930,40,1,1685161374,201
20190817,33,6,1759863460,940
20190824,34,6,1761713014,560
20190831,35,6,1781807945,1028
20190914,37,6,3021573833,985
20190921,38,6,3357604587,220
20190908,36,7,1781809788,1141
20190817,33,6,1685160637,519
20191007,41,1,1781808703,947
20191009,41,3,1781807016,1304
20191008,41,2,1685161748,151
20190818,33,7,2931323584,613
20191018,42,5,1781807945,1231
20190926,39,4,3021573833,1409
20190930,40,1,2931323584,249
20190816,33,5,1685162081,538
20190817,33,6,1542698720,210
20190913,37,5,3592397569,320
20191014,42,1,3516139149,331
20190830,35,5,1685162081,292
20190826,35,1,2713129639,263967
20190929,39,7,1781808719,1164
20190818,33,7,1761714552,643
20190903,36,2,1001000037396,1041
20190916,38,1,1761713544,312
20191004,40,5,1781810030,928
20191011,41,5,3357604587,184
20190831,35,6,1761713488,371
20190817,33,6,3428867428,306
20190916,38,1,1781808832,1218
20191008,41,2,1781806667,1318
20190817,33,6,1761714989,633
20190919,38,4,1781807945,1336
20190909,37,1,1761713334,409
20190904,36,3,1685161793,271
20190822,34,4,1761713334,688
20190823,34,5,1761713410,691
20190908,36,7,1781810443,1242
20190925,39,3,3531033244,466
20190905,36,4,1781808832,1249
20191001,40,2,1685160674,179
20191009,41,3,1781809788,1269
20190828,35,3,1759863460,828
20191007,41,1,1685161287,130
20190907,36,6,2269829235,317
20190819,34,1,1781810030,1456
20190829,35,4,1759863460,850
20190926,39,4,1683952717,1363
20191013,41,7,1781809788,793
20191005,40,6,1685161748,237
20191008,41,2,3357604587,249
20191018,42,5,2269829235,167
20190923,39,1,2713129639,223831
20190923,39,1,3428867428,470
20190916,38,1,1761714552,338
20191009,41,3,2158351255,619
20190901,35,7,3428867428,238
20190917,38,2,1781806251,1371
20190920,38,5,2680486890,499
20191017,42,4,1781808719,1153
20190930,40,1,1781808471,1124
20190820,34,2,1761713844,722
20190901,35,7,1761713838,223
20190828,35,3,1781806667,1469
20190829,35,4,1781809819,1713
20190902,36,1,1685162081,290
20190903,36,2,1683952717,1216
20190917,38,2,1761713410,120
20190825,34,7,1781807461,807
20190914,37,6,1781806667,890
20190929,39,7,1685161793,216
20190916,38,1,1761714946,315
20191004,40,5,1685161819,180
20190927,39,5,1781809788,1269
20191014,42,1,3021573833,955
20190925,39,3,1781808832,1261
20191009,41,3,3473823790,1137
20190831,35,6,3107361624,130
20190907,36,6,1781809819,931
20190912,37,4,1542698720,465
20190916,38,1,3321779464,362
20191018,42,5,3592397569,3272
20191007,41,1,1781810443,920
20191011,41,5,2931323584,159
20191012,41,6,3428867428,50
20190825,34,7,1685161287,46
20190820,34,2,1759863460,859
20190911,37,3,1781808703,1371
20190920,38,5,3516139149,454
20191017,42,4,1781806251,1169
20190816,33,5,1685161748,497
20190825,34,7,3516139149,323
20190823,34,5,1761713488,774
20190912,37,4,1683952717,1466
20190921,38,6,1781807945,984
20190924,39,2,2976786729,678
20190914,37,6,1761714989,324
20191009,41,3,1781810443,1227
20190831,35,6,1685161374,258
20191006,40,7,1685159830,156
20191001,40,2,1781807461,1365
20190827,35,2,1781807945,1247
20190917,38,2,3357604587,376
20191002,40,3,1542698720,133
20190830,35,5,1685161819,250
20190929,39,7,1781807461,1147
20190822,34,4,1685161374,148
20191012,41,6,1781807441,974
20190829,35,4,1761715460,547
20190831,35,6,1761714946,363
20190830,35,5,1542698720,477
20190817,33,6,1781807216,1100
20190912,37,4,1781807945,1378
20190910,37,2,1761714552,408
20190906,36,5,3357604587,401
20190920,38,5,3107361624,567
20190826,35,1,1685160637,76
20190830,35,5,3592397569,835
20190903,36,2,2269829235,309
20190906,36,5,1761714521,366
20190916,38,1,1683952717,1465
20190920,38,5,1759863460,869
20190926,39,4,3321779464,378
20190817,33,6,1761713334,633
20191012,41,6,1781808703,917
20191018,42,5,1781808143,1217
20190913,37,5,1761715377,341
20190819,34,1,1685161819,528
20190831,35,6,3531033244,349
20190906,36,5,1781809819,1461
20190925,39,3,2713129639,256427
20190924,39,2,2164312964,490
20190927,39,5,3428867428,217
20190831,35,6,1685161793,221
20190823,34,5,1761713838,657
20190907,36,6,1685159830,278
20190906,36,5,1761713545,349
20191008,41,2,3473823790,1057
20191010,41,4,1685161748,130
20191005,40,6,1781806667,690
20191001,40,2,1685161287,201
20190827,35,2,1685161748,138
20190905,36,4,2269829235,199
20190816,33,5,1685161147,500
20190903,36,2,3357604587,247
20191008,41,2,1685161147,144
20191002,40,3,1685162081,237
20190826,35,1,1781807461,1301
20190828,35,3,2976786729,661
20190829,35,4,1781808703,1677
20191010,41,4,1781808143,1183
20190908,36,7,1761713334,291
20190911,37,3,2164312964,341
20191018,42,5,1685161147,118
20190831,35,6,3321779464,275
20191007,41,1,3592397569,476
20191015,42,2,1781807016,1234
20190827,35,2,1781808719,1295
20190921,38,6,1781810497,975
20190927,39,5,1781807441,1229
20190823,34,5,1685161147,18
20190901,35,7,1001000286087,69
20190823,34,5,1761714946,728
20190902,36,1,1781807216,1337
20191010,41,4,2164312964,556
20191015,42,2,3357604587,126
20190820,34,2,2713129639,283626
20190826,35,1,1781806909,1282
20190911,37,3,1761713545,414
20190913,37,5,1685159830,245
20191011,41,5,3428867428,290
20191017,42,4,1542698720,501
20190819,34,1,1761713334,730
20190831,35,6,1685161147,273
20191008,41,2,2976786729,123
20190816,33,5,1781806734,1362
20190817,33,6,1761713149,643
20190902,36,1,1685161374,267
20190907,36,6,1759863460,780
20190919,38,4,1781809788,1287
20191006,40,7,1685161748,178
20190925,39,3,2164312964,482
20190825,34,7,1685161819,58
20190909,37,1,2680486890,499
20190819,34,1,1781806734,1445
20190921,38,6,1781808143,992
20190915,37,7,1781807945,949
20190926,39,4,1542698720,437
20190831,35,6,1761713410,417
20190919,38,4,1781807441,1257
20190925,39,3,2478637939,915
20191004,40,5,2478637939,1068
20190817,33,6,1001000197484,4
20191002,40,3,1685161748,270
20191013,41,7,1781806667,730
20190929,39,7,1781806909,1122
20191014,42,1,3428867428,394
20191001,40,2,1781810497,1402
20191003,40,4,1781806909,747
20190820,34,2,1761713014,729
20190901,35,7,1781807945,1022
20190930,40,1,1781810497,1130
20190821,34,3,2158351255,628
20190826,35,1,3428867428,267
20191018,42,5,1781810497,1187
20191009,41,3,1685161819,164
20191010,41,4,1781808471,1191
20190827,35,2,1781806667,1207
20190831,35,6,1781807016,1062
20190919,38,4,2269829235,471
20190925,39,3,1781808703,1262
20190903,36,2,1781808832,1288
20190922,38,7,1759863460,936
20190914,37,6,2269829235,377
20191001,40,2,1542698720,233
20190816,33,5,1761714609,769
20190818,33,7,1781810497,1049
20190901,35,7,2269829235,271
20190914,37,6,3507123484,298
20190907,36,6,1685161147,285
20190914,37,6,1761713844,323
20190904,36,3,1685161374,276
20191016,42,3,1781810497,1181
20190822,34,4,2164312964,478
20190904,36,3,1781810443,1340
20190916,38,1,1781807945,1144
20190921,38,6,3473823790,1251
20190903,36,2,1761713149,275
20190901,35,7,2976786729,164
20191009,41,3,1685161374,169
20191010,41,4,1781808719,1285
20191012,41,6,3021573833,1185
20190824,34,6,1761713545,562
20190826,35,1,1781806251,1334
20191008,41,2,2931323584,325
20190904,36,3,1761713838,191
20190919,38,4,2680486890,479
20190908,36,7,3321779464,213
20190927,39,5,1685161819,201
20190819,34,1,1685161374,538
20190928,39,6,3533876209,10
20191015,42,2,1781809819,1251
20190924,39,2,1781809449,1273
20190925,39,3,1685160637,308
20190823,34,5,1781806251,1452
20190925,39,3,1781810030,1289
20191003,40,4,1781809819,755
20191008,41,2,1001000286087,837
20190817,33,6,2158351255,616
20190820,34,2,1685159830,471
20190831,35,6,1761714657,366
20190908,36,7,1761714552,289
20190913,37,5,1761713844,359
20190914,37,6,3592397569,303
20190912,37,4,1761713544,443
20190918,38,3,2976786729,614
20191002,40,3,1781807461,710
20191009,41,3,3357604587,166
20190825,34,7,1761714989,596
20190907,36,6,1761714946,289
20190912,37,4,1781810030,1172
20190913,37,5,1781808832,930
20190923,39,1,1685160674,292
20190924,39,2,2713129639,217325
20190924,39,2,2158351255,610
20190924,39,2,1759863460,936
20190901,35,7,1759863460,819
20190905,36,4,1761714989,400
20191010,41,4,3531033244,502
20191001,40,2,2269829235,113
20190822,34,4,1761715749,688
20190824,34,6,1761714657,536
20190825,34,7,1759863460,741
20190823,34,5,1781807016,1428
20190826,35,1,1761714609,717
20190909,37,1,1781809449,1255
20190928,39,6,1685161819,245
20190816,33,5,1761715377,789
20191009,41,3,1781808703,1262
20190830,35,5,1781809449,1448
20190926,39,4,1781807461,1237
20190928,39,6,1781806667,966
