input_date,weekofyear,input_week_day,puin,cnt
2019-10-12,41,6,1781807441,974
2019-08-29,35,4,1761715460,547
2019-08-31,35,6,1761714946,363
2019-08-30,35,5,1542698720,477
2019-08-17,33,6,1781807216,1100
2019-09-12,37,4,1781807945,1378
2019-09-10,37,2,1761714552,408
2019-09-06,36,5,3357604587,401
2019-09-20,38,5,3107361624,567
2019-08-26,35,1,1685160637,76
2019-08-30,35,5,3592397569,835
2019-09-03,36,2,2269829235,309
2019-09-06,36,5,1761714521,366
2019-09-16,38,1,1683952717,1465
2019-09-20,38,5,1759863460,869
2019-09-26,39,4,3321779464,378
2019-08-17,33,6,1761713334,633
2019-10-12,41,6,1781808703,917
2019-10-18,42,5,1781808143,1217
2019-09-13,37,5,1761715377,341
2019-08-19,34,1,1685161819,528
2019-08-31,35,6,3531033244,349
2019-09-06,36,5,1781809819,1461
2019-09-25,39,3,2713129639,256427
2019-09-24,39,2,2164312964,490
2019-09-27,39,5,3428867428,217
2019-08-31,35,6,1685161793,221
2019-08-23,34,5,1761713838,657
2019-09-07,36,6,1685159830,278
2019-09-06,36,5,1761713545,349
2019-10-08,41,2,3473823790,1057
2019-10-10,41,4,1685161748,130
2019-10-05,40,6,1781806667,690
2019-10-01,40,2,1685161287,201
2019-08-27,35,2,1685161748,138
2019-09-05,36,4,2269829235,199
2019-08-16,33,5,1685161147,500
2019-09-03,36,2,3357604587,247
2019-10-08,41,2,1685161147,144
2019-10-02,40,3,1685162081,237
2019-08-26,35,1,1781807461,1301
2019-08-28,35,3,2976786729,661
2019-08-29,35,4,1781808703,1677
2019-10-10,41,4,1781808143,1183
2019-09-08,36,7,1761713334,291
2019-09-11,37,3,2164312964,341
2019-10-18,42,5,1685161147,118
2019-08-31,35,6,3321779464,275
2019-10-07,41,1,3592397569,476
2019-10-15,42,2,1781807016,1234
2019-08-27,35,2,1781808719,1295
2019-09-21,38,6,1781810497,975
2019-09-27,39,5,1781807441,1229
2019-08-23,34,5,1685161147,18
2019-09-01,35,7,1001000286087,69
2019-08-23,34,5,1761714946,728
2019-09-02,36,1,1781807216,1337
2019-10-10,41,4,2164312964,556
2019-10-15,42,2,3357604587,126
2019-08-20,34,2,2713129639,283626
2019-08-26,35,1,1781806909,1282
2019-09-11,37,3,1761713545,414
2019-09-13,37,5,1685159830,245
2019-10-11,41,5,3428867428,290
2019-10-17,42,4,1542698720,501
2019-08-19,34,1,1761713334,730
2019-08-31,35,6,1685161147,273
2019-10-08,41,2,2976786729,123
2019-08-16,33,5,1781806734,1362
2019-08-17,33,6,1761713149,643
2019-09-02,36,1,1685161374,267
2019-09-07,36,6,1759863460,780
2019-09-19,38,4,1781809788,1287
2019-10-06,40,7,1685161748,178
2019-09-25,39,3,2164312964,482
2019-08-25,34,7,1685161819,58
2019-09-09,37,1,2680486890,499
2019-08-19,34,1,1781806734,1445
2019-09-21,38,6,1781808143,992
2019-09-15,37,7,1781807945,949
2019-09-26,39,4,1542698720,437
2019-08-31,35,6,1761713410,417
2019-09-19,38,4,1781807441,1257
2019-09-25,39,3,2478637939,915
2019-10-04,40,5,2478637939,1068
2019-08-17,33,6,1001000197484,4
2019-10-02,40,3,1685161748,270
2019-10-13,41,7,1781806667,730
2019-09-29,39,7,1781806909,1122
2019-10-14,42,1,3428867428,394
2019-10-01,40,2,1781810497,1402
2019-10-03,40,4,1781806909,747
2019-08-20,34,2,1761713014,729
2019-09-01,35,7,1781807945,1022
2019-09-30,40,1,1781810497,1130
2019-08-21,34,3,2158351255,628
2019-08-26,35,1,3428867428,267
2019-10-18,42,5,1781810497,1187
2019-10-09,41,3,1685161819,164
2019-10-10,41,4,1781808471,1191
2019-08-27,35,2,1781806667,1207
2019-08-31,35,6,1781807016,1062
2019-09-19,38,4,2269829235,471
2019-09-25,39,3,1781808703,1262
2019-09-03,36,2,1781808832,1288
2019-09-22,38,7,1759863460,936
2019-09-14,37,6,2269829235,377
2019-10-01,40,2,1542698720,233
2019-08-16,33,5,1761714609,769
2019-08-18,33,7,1781810497,1049
2019-09-01,35,7,2269829235,271
2019-09-14,37,6,3507123484,298
2019-09-07,36,6,1685161147,285
2019-09-14,37,6,1761713844,323
2019-09-04,36,3,1685161374,276
2019-10-16,42,3,1781810497,1181
2019-08-22,34,4,2164312964,478
2019-09-04,36,3,1781810443,1340
2019-09-16,38,1,1781807945,1144
2019-09-21,38,6,3473823790,1251
2019-09-03,36,2,1761713149,275
2019-09-01,35,7,2976786729,164
2019-10-09,41,3,1685161374,169
2019-10-10,41,4,1781808719,1285
2019-10-12,41,6,3021573833,1185
2019-08-24,34,6,1761713545,562
2019-08-26,35,1,1781806251,1334
2019-10-08,41,2,2931323584,325
2019-09-04,36,3,1761713838,191
2019-09-19,38,4,2680486890,479
2019-09-08,36,7,3321779464,213
2019-09-27,39,5,1685161819,201
2019-08-19,34,1,1685161374,538
2019-09-28,39,6,3533876209,10
2019-10-15,42,2,1781809819,1251
2019-09-24,39,2,1781809449,1273
2019-09-25,39,3,1685160637,308
2019-08-23,34,5,1781806251,1452
2019-09-25,39,3,1781810030,1289
2019-10-03,40,4,1781809819,755
2019-10-08,41,2,1001000286087,837
2019-08-17,33,6,2158351255,616
2019-08-20,34,2,1685159830,471
2019-08-31,35,6,1761714657,366
2019-09-08,36,7,1761714552,289
2019-09-13,37,5,1761713844,359
2019-09-14,37,6,3592397569,303
2019-09-12,37,4,1761713544,443
2019-09-18,38,3,2976786729,614
2019-10-02,40,3,1781807461,710
2019-10-09,41,3,3357604587,166
2019-08-25,34,7,1761714989,596
2019-09-07,36,6,1761714946,289
2019-09-12,37,4,1781810030,1172
2019-09-13,37,5,1781808832,930
2019-09-23,39,1,1685160674,292
2019-09-24,39,2,2713129639,217325
2019-09-24,39,2,2158351255,610
2019-09-24,39,2,1759863460,936
2019-09-01,35,7,1759863460,819
2019-09-05,36,4,1761714989,400
2019-10-10,41,4,3531033244,502
2019-10-01,40,2,2269829235,113
2019-08-22,34,4,1761715749,688
2019-08-24,34,6,1761714657,536
2019-08-25,34,7,1759863460,741
2019-08-23,34,5,1781807016,1428
2019-08-26,35,1,1761714609,717
2019-09-09,37,1,1781809449,1255
2019-09-28,39,6,1685161819,245
2019-08-16,33,5,1761715377,789
2019-10-09,41,3,1781808703,1262
2019-08-30,35,5,1781809449,1448
2019-09-26,39,4,1781807461,1237
2019-09-28,39,6,1781806667,966
2019-08-21,34,3,1685162081,400
2019-10-01,40,2,3592397569,477
2019-09-22,38,7,1685161147,287
2019-10-12,41,6,1781807945,905
2019-09-01,35,7,1761713410,220
2019-09-13,37,5,1781806734,1028
2019-09-13,37,5,3107361624,187
2019-09-26,39,4,3533876209,149
2019-08-26,35,1,1781809819,1259
2019-09-09,37,1,1781807016,1204
2019-08-16,33,5,1685160674,521
2019-10-15,42,2,1685160674,82
2019-10-13,41,7,3533876209,15
2019-09-16,38,1,2478637939,771
2019-09-13,37,5,1761714245,377
2019-10-16,42,3,3021573833,1182
2019-10-18,42,5,1781810030,1163
2019-10-09,41,3,1685161748,161
2019-10-14,42,1,1781810030,1261
2019-10-15,42,2,1781806909,1223
2019-10-17,42,4,1683952717,1317
2019-10-18,42,5,1781807441,1189
2019-10-16,42,3,1542698720,474
2019-09-24,39,2,2478637939,612
2019-08-19,34,1,3516139149,537
2019-08-17,33,6,1781809449,1104
2019-10-01,40,2,1781810030,1453
2019-10-05,40,6,1781810497,777
2019-10-10,41,4,1781806734,1187
2019-10-07,41,1,1001000286087,208
2019-09-04,36,3,1781806667,1283
2019-09-30,40,1,1781806909,1031
2019-08-17,33,6,3516139149,464
2019-08-17,33,6,1001000286087,14235
2019-09-06,36,5,1685161793,352
2019-09-11,37,3,3321779464,321
2019-09-12,37,4,1761714989,460
2019-09-15,37,7,3592397569,693
2019-08-17,33,6,1781807016,1213
2019-09-06,36,5,1781806251,1546
2019-10-02,40,3,1781807216,715
2019-10-06,40,7,2931323584,400
2019-08-29,35,4,3357604587,550
2019-10-14,42,1,1685159830,73
2019-10-12,41,6,2713129639,211886
2019-10-15,42,2,1685159830,77
