s_cont_stat_date,content_type,src,union_chann_id,today_ruku_cont_cnt
2019-12-29,图文,14,112,263917
2020-01-01,图文,14,101,27533
2020-01-05,图文,14,107,9763
2020-01-09,图文,14,125,20373
2020-01-12,图文,14,119,16595
2020-01-12,图文,14,113,16006
2020-01-16,图文,14,110,22630
2020-01-16,图文,14,112,358930
2020-01-18,图文,14,110,19908
2020-01-24,图文,14,109,9725
2020-01-26,图文,22,112,6558
2020-02-02,图文,14,134,44110
2020-02-05,图文,22,118,539
2019-12-13,图集,49,122,591
2019-12-09,图文,14,134,43603
2019-12-18,图文,14,133,117798
2019-12-27,图文,14,132,57780
2020-01-03,图文,14,124,41723
2020-01-06,图文,14,110,26530
2020-01-06,图文,14,126,100422
2020-01-23,图文,14,132,51175
2020-01-23,图文,14,111,50625
2020-02-02,图文,14,104,32279
2020-02-05,图文,14,117,22952
2019-12-08,图文,14,119,19440
2019-12-08,图文,14,123,21485
2019-12-12,图文,14,106,25059
2019-12-12,图文,14,122,32822
2019-12-16,图文,14,118,48309
2019-12-16,图文,65,103,870
2019-12-18,图文,22,121,2452
2019-12-19,图集,49,\N,4292
2019-12-28,图文,52,133,1611
2020-01-04,图文,14,126,113607
2020-01-07,图文,14,132,58507
2020-01-21,图文,14,121,109170
2020-01-22,图文,14,120,69454
2020-01-28,图文,14,\N,115890
2020-01-29,图文,14,113,6635
2020-02-05,图文,14,\N,150418
2020-02-07,图文,14,122,9901
2020-02-07,图文,14,133,101256
2020-02-24,图集,49,104,347
2020-02-11,图文,14,126,83334
2020-02-17,图文,14,121,140414
2020-02-22,图文,14,127,16915
2020-03-01,图文,14,110,20298
2020-02-12,图文,14,107,9630
2020-02-22,图文,14,121,125060
2020-02-28,图文,14,134,40047
2020-02-15,图文,65,104,2624
2020-02-28,图文,14,\N,327560
2019-12-03,图文,14,113,11353
2019-12-11,图文,14,124,62729
2019-12-17,图文,14,132,63455
2020-01-11,图文,14,106,22936
2019-12-23,图文,52,112,13177
2020-01-13,图文,65,110,5880
2019-12-12,图文,52,103,1666
2019-12-03,图文,52,\N,112549
2019-12-09,图文,14,120,155166
2019-12-14,图文,65,120,844
2019-12-18,图文,14,122,37132
2019-12-23,图文,14,120,149434
2019-12-27,图文,14,110,28972
2019-12-28,图文,14,100,85721
2019-12-31,图文,52,\N,111193
2020-01-12,图文,22,112,4649
2020-01-16,图文,22,120,2325
2020-01-26,图文,14,123,6184
2020-01-29,图文,14,108,6567
2019-12-05,图文,14,121,147855
2019-12-17,图文,14,103,11053
2019-12-17,图文,14,114,64256
2019-12-23,图文,14,104,41494
2020-01-01,图文,14,121,89644
2020-01-25,图文,14,120,35941
2019-12-16,图文,52,111,3997
2019-12-13,图文,14,121,146270
2019-12-14,图文,14,141,26077
2019-12-31,图文,14,\N,100805
2020-01-01,图文,14,126,91143
2020-01-05,图文,14,106,23868
2020-01-09,图文,14,122,31044
2020-02-05,图文,14,114,38160
2020-02-09,图文,14,117,22336
2020-02-10,图文,67,111,1469
2020-01-22,图文,52,127,785
2019-12-11,图文,22,101,604
2019-12-13,图文,14,114,72675
2019-12-15,图文,22,126,1464
2019-12-15,图文,14,126,75852
2019-12-19,图文,14,124,60368
2019-12-25,图文,14,132,57320
2020-01-03,图文,14,120,106101
2020-01-03,图文,22,132,806
2020-01-15,图文,14,104,43359
2020-01-19,图文,14,130,12804
2019-12-07,图文,14,103,9961
2019-12-18,图文,14,113,17116
2019-12-22,图文,14,133,111778
2019-12-24,图文,14,110,27771
2019-12-25,图文,14,100,88985
2019-12-25,图文,14,138,6829
2019-12-28,图文,65,113,1182
2019-12-31,图文,14,111,106729
2020-01-08,图文,14,\N,143143
2020-01-13,图文,22,\N,2608
2020-01-16,图文,14,104,44316
2020-01-28,图文,14,126,60198
2020-01-30,图文,14,132,50020
2020-01-23,图文,52,108,1703
2020-02-11,图文,14,104,36913
2020-02-20,图文,14,108,11998
2020-02-29,图文,14,124,31818
2020-02-14,图文,14,117,27188
2020-02-15,图文,14,106,28442
2019-12-04,图文,14,137,8030
2019-12-05,图文,14,115,13060
2019-12-20,图文,14,122,38365
2019-12-29,图文,14,111,42190
2020-01-02,图文,52,\N,109382
2020-01-18,图文,14,107,10697
2020-01-31,图文,14,\N,131186
2019-12-14,图集,49,104,3811
2019-12-08,图文,14,109,14336
2019-12-13,图文,14,131,6731
2019-12-17,图文,65,\N,1093
2019-12-29,图文,14,116,42614
2020-01-04,图文,14,120,156961
2020-01-05,图文,14,133,105308
2020-01-12,图文,14,132,59208
2020-01-13,图文,14,121,103172
2020-01-18,图文,14,124,21992
2020-01-28,图文,14,111,44008
2020-02-04,图文,14,126,100314
2020-02-08,图文,14,120,113524
2020-02-09,图文,14,127,19060
2020-02-09,图文,14,138,2396
2019-12-07,图文,14,121,125189
2020-01-14,图文,14,118,40273
2020-01-16,图文,52,\N,109173
2020-01-18,图文,14,132,55725
2020-01-20,图文,14,121,96926
2020-01-24,图文,14,118,27380
2019-12-18,图文,52,118,1693
2019-12-06,图文,14,101,36692
2019-12-08,图文,14,132,59567
2019-12-15,图文,14,134,43374
2019-12-17,图文,14,104,41951
2019-12-18,图文,14,114,64440
2019-12-19,图文,14,131,6430
2019-12-20,图文,14,124,58071
2020-01-22,图文,14,121,112853
2020-01-31,图文,14,133,93317
2020-02-08,图文,14,114,33504
2019-12-03,图文,14,101,35826
2019-12-06,图文,14,110,31936
2019-12-21,图文,65,103,630
2019-12-24,图文,14,115,10734
2019-12-25,图文,52,100,627
2020-01-03,图文,14,134,29243
2020-01-08,图文,14,116,48761
2020-01-18,图文,14,111,45282
2020-01-23,图文,14,121,112702
2020-02-27,图文,52,123,2653
2020-02-22,图文,65,124,1996
2020-02-15,图文,14,121,137515
2020-02-17,图文,14,134,42958
2020-02-17,图文,14,126,85910
2020-02-23,图文,14,106,23757
2020-02-27,图文,14,131,4757
2020-02-29,图文,14,114,43107
2020-02-16,图文,14,120,115956
2020-02-18,图文,14,138,2903
2020-02-24,图文,14,117,28093
2020-02-29,图文,14,122,15648
2020-02-12,图文,14,106,25836
2020-02-18,图文,14,100,107024
2020-02-22,图文,14,108,10168
2020-02-25,图文,52,\N,124290
2019-12-30,图文,69,121,56
2020-01-01,图集,49,109,2002
2019-12-15,图文,14,113,9720
2019-12-20,图文,14,130,22912
2020-01-11,图文,14,133,103918
2020-01-18,图文,14,128,9386
2020-01-22,图文,14,106,23251
2020-01-28,图文,14,132,48989
2020-02-07,图文,14,114,37656
2020-02-09,图文,14,119,18656
