f_date,input_date,s_input_date,week_of_year,input_week_day,puin,cnt
20191022,20190912,2019-09-12,37,4,1693921771,500
20191022,20191015,2019-10-15,42,2,1001000197107,500
20191022,20190816,2019-08-16,33,5,1655241805,204
20191022,20190826,2019-08-26,35,1,1643982571,500
20191022,20190910,2019-09-10,37,2,1781807016,1376
20191022,20190910,2019-09-10,37,2,1781806909,1390
20191022,20190928,2019-09-28,39,6,1781808719,944
20191022,20190928,2019-09-28,39,6,1992602239,2573
20191022,20190829,2019-08-29,35,4,3021573833,1245
20191022,20191002,2019-10-02,40,3,2252326496,500
20191022,20190908,2019-09-08,36,7,2153886484,141
20191022,20190927,2019-09-27,39,5,3107361624,715
20191022,20190929,2019-09-29,39,7,1001000197107,500
20191022,20190912,2019-09-12,37,4,1921431481,51
20191022,20190911,2019-09-11,37,3,2976786729,313
20191022,20190919,2019-09-19,38,4,1781808471,1390
20191022,20190913,2019-09-13,37,5,2976786729,672
20191022,20190829,2019-08-29,35,4,3531033244,507
20191022,20190821,2019-08-21,34,3,2105858172,407
20191022,20191006,2019-10-06,40,7,1759863460,858
20191022,20191011,2019-10-11,41,5,1781806251,1074
20191022,20190901,2019-09-01,35,7,3357604587,469
20191022,20190930,2019-09-30,40,1,1921431481,408
20191022,20190909,2019-09-09,37,1,1781808703,1265
20191022,20190918,2019-09-18,38,3,1803170283,491
20191022,20191004,2019-10-04,40,5,3357604587,700
20191022,20191006,2019-10-06,40,7,1781807216,832
20191022,20191008,2019-10-08,41,2,1701790981,369
20191022,20190828,2019-08-28,35,3,1693921771,500
20191022,20190925,2019-09-25,39,3,1921424720,495
20191022,20190910,2019-09-10,37,2,2680486890,500
20191022,20191005,2019-10-05,40,6,3321779464,90
20191022,20191017,2019-10-17,42,4,1781807441,1148
20191022,20191010,2019-10-10,41,4,226864582,494
20191022,20190818,2019-08-18,33,7,2931323584,613
20191022,20190902,2019-09-02,36,1,1781806667,1347
20191022,20190904,2019-09-04,36,3,3592397569,346
20191022,20190924,2019-09-24,39,2,1781808471,1262
20191022,20190902,2019-09-02,36,1,1781809819,1387
20191022,20190906,2019-09-06,36,5,1781806734,1568
20191022,20190911,2019-09-11,37,3,1655241805,500
20191022,20190820,2019-08-20,34,2,1781809449,1752
20191022,20190922,2019-09-22,38,7,1643982571,482
20191022,20191002,2019-10-02,40,3,1663272562,499
20191022,20191002,2019-10-02,40,3,3357604587,305
20191022,20191021,2019-10-21,43,1,2713129639,239911
20191022,20191004,2019-10-04,40,5,2225130883,500
20191022,20191014,2019-10-14,42,1,1781808832,1246
20191022,20190816,2019-08-16,33,5,1781809819,1353
20191022,20190822,2019-08-22,34,4,3201287628,77
20191022,20190902,2019-09-02,36,1,1001000286087,159
20191022,20190923,2019-09-23,39,1,3464284705,498
20191022,20190824,2019-08-24,34,6,1504400350,500
20191022,20190910,2019-09-10,37,2,1001000037396,499
20191022,20190912,2019-09-12,37,4,1781807945,1378
20191022,20190914,2019-09-14,37,6,1001002030011,227
20191022,20191007,2019-10-07,41,1,2153886484,111
20191022,20190821,2019-08-21,34,3,1781806734,1306
20191022,20190929,2019-09-29,39,7,2976786729,624
20191022,20190822,2019-08-22,34,4,1001000822989,302
20191022,20191002,2019-10-02,40,3,1781807216,715
20191022,20190823,2019-08-23,34,5,1921425583,496
20191022,20190903,2019-09-03,36,2,1660211396,500
20191022,20191017,2019-10-17,42,4,1001000197107,500
20191022,20191016,2019-10-16,42,3,1001000286087,977
20191022,20190911,2019-09-11,37,3,1781808471,1379
20191022,20191001,2019-10-01,40,2,1781807016,1392
20191022,20190917,2019-09-17,38,2,1781808143,1335
20191022,20190820,2019-08-20,34,2,1504400350,463
20191022,20190825,2019-08-25,34,7,1001000286250,422
20191022,20190822,2019-08-22,34,4,1693921771,499
20191022,20190822,2019-08-22,34,4,3321779464,412
20191022,20191007,2019-10-07,41,1,1001001962555,500
20191022,20191011,2019-10-11,41,5,1781807945,1127
20191022,20191018,2019-10-18,42,5,3021573833,1392
20191022,20190827,2019-08-27,35,2,1504400350,491
20191022,20190830,2019-08-30,35,5,1781807461,1454
20191022,20190905,2019-09-05,36,4,1694814142,498
20191022,20190824,2019-08-24,34,6,1656351064,500
20191022,20190915,2019-09-15,37,7,1683952717,1121
20191022,20190917,2019-09-17,38,2,1001001962555,500
20191022,20190918,2019-09-18,38,3,1001001980328,499
20191022,20190921,2019-09-21,38,6,1001001877189,481
20191022,20190920,2019-09-20,38,5,1701790981,189
20191022,20190908,2019-09-08,36,7,3107361624,49
20191022,20190918,2019-09-18,38,3,1686044523,492
20191022,20190925,2019-09-25,39,3,1781808143,1333
20191022,20190830,2019-08-30,35,5,2478637939,202
20191022,20190927,2019-09-27,39,5,1504400350,278
20191022,20190827,2019-08-27,35,2,1660211396,510
20191022,20190909,2019-09-09,37,1,3428867428,187
20191022,20191009,2019-10-09,41,3,1781807441,1188
20191022,20191007,2019-10-07,41,1,1001000286250,405
20191022,20191012,2019-10-12,41,6,1001000197107,500
