union_chann_cn,puin,vv,zan_cnt,shoucang_cnt,share_cnt,f_fans_cnt,youzhi_cnt
旅游,2178864630,410045,6954,67,148,1996,1
旅游,2777633556,84225,4156,115,239,495,0
旅游,1298925310,177738,2075,25,87,73,0
旅游,2220580837,64798,1163,46,38,2294,2
旅游,3447710065,13478616,163271,1748,1851,17147,1
旅游,1001004294366,83046,605,1,20,25,0
旅游,1920356247,5688295,59124,355,465,3025,0
旅游,3596688755,62264,399,0,27,110,0
旅游,774390491,1920099,14028,226,596,992,0
旅游,2080497353,65604,444,1,7,4477,0
旅游,1001000286940,74012,539,3,13,1497,0
旅游,1001002024272,714895,5852,24,298,1645,0
旅游,1001002932454,2589835,34516,68,159,3399,0
旅游,1001004229429,11148071,174472,745,947,1304,0
旅游,1543661496,82776,349,0,20,306,0
旅游,2658903623,404537,4075,23,40,22471,0
旅游,1690171141,70004,2149,8,140,614,0
旅游,2893194340,1263529,25683,471,673,2711,0
旅游,1001000099570,94609,1149,30,93,759,1
旅游,3497671837,354001,1826,12,43,1451,0
旅游,1001002595500,110298,1527,59,43,21,0
旅游,3468660147,87471,651,10,4,907,0
旅游,3598163821,311704,14997,117,329,36171,2
旅游,1578365711,381460,7801,143,344,158,1
旅游,1736554993,69405,574,7,16,988,0
旅游,1001002943891,608386,4897,24,114,104,0
旅游,1001005664630,72840,585,12,16,7,0
旅游,1182680882,209844,5347,142,546,0,1
旅游,1001003755313,469292,11362,178,286,115,2
旅游,1762708851,166358,2304,32,77,23,0
旅游,1692084587,225637,2453,17,33,186,0
旅游,1934931391,1014798,24554,294,801,387,0
旅游,1001003981609,270235,3783,75,320,20,0
旅游,1773661192,4440616,32330,111,696,340,0
旅游,1574278562,654698,7589,61,77,3876,0
旅游,1533562803,3995860,81367,840,999,21982,5
旅游,1001001818261,3903921,104201,1214,1108,756,0
旅游,1001002615723,168667,4181,16,43,352,0
旅游,1001003184991,9841509,136021,1427,1107,856,0
旅游,1001000100904,2778061,73243,756,905,976,0
旅游,1211744353,1397243,12094,33,203,605,0
旅游,3284651752,1443590,19741,208,182,32882,0
旅游,3590246516,94740,1750,21,34,5901,1
旅游,1722586980,2991864,47577,1050,1759,230,0
旅游,1001004102852,2834909,18239,88,153,154,0
旅游,2125411357,562394,13438,391,845,17464555,2065
旅游,1797550689,1919642,17433,106,253,149,0
旅游,1001002812938,460297,1719,9,103,84,0
旅游,1001000027571,382623,1648,3,50,77,0
旅游,2170749728,71821,1616,31,40,856,0
旅游,3379632217,1614000,40027,244,280,1578,2
旅游,1001002733593,585826,6286,37,67,44,0
旅游,2997923706,118216,2627,36,177,540,0
旅游,405247862,421533,21659,273,339,408838,3
旅游,2382087520,9871349,164247,5268,3475,2517,0
旅游,1499721711,100598,581,3,12,186,0
旅游,1782611769,1680773,20154,124,149,194,0
旅游,3360820837,4481110,54101,462,658,454,0
旅游,1720516266,521005,2630,5,23,31,0
旅游,1001002983980,7033282,47188,110,433,1786,0
旅游,2537975519,465687,2749,9,32,118,0
旅游,1001001721107,826733,8418,37,127,4135,0
旅游,1754961647,65446,317,13,26,5943,0
旅游,2737839220,71969,1127,14,11,4808,38
旅游,942014360,196703,1520,3,5,6250,0
旅游,3387692927,74334,895,8,25,5324,34
旅游,1001000288026,978684,19627,268,841,735,0
旅游,2818790892,12144405,251844,4048,6460,13050,0
旅游,1001003191652,1139304,10858,46,183,4473,0
旅游,2290149638,81312,462,3,9,244,0
旅游,3285942935,151674,1136,1,14,1589,0
旅游,1716620243,140559,4365,50,121,25,0
旅游,2904833083,1247732,9358,25,71,6193,3
旅游,3512342763,4552835,41323,636,2590,2623,2
旅游,528458447,397202,5150,64,106,67,0
旅游,1572494146,199011,3391,56,138,69,0
旅游,2627881415,72591,390,5,13,59,0
旅游,3261652065,1004033,7520,16,121,151,0
旅游,3137048715,106968,794,4,20,1707,4
旅游,2660276963,4111297,85831,5918,5005,468,1
旅游,1001001987266,705411,8495,5,30,132,0
旅游,3577844138,94284,2210,45,356,785,0
旅游,1001002870889,326890,4463,67,75,1153,0
旅游,1806077608,3389741,56562,230,668,1181,0
旅游,3458636782,1289451,14676,214,837,143,0
旅游,1001002897010,142976,1687,10,23,674,0
旅游,1001004143164,1929259,20289,211,566,122,0
旅游,1769618310,3677148,40753,172,298,461,0
旅游,3446379741,13926887,136409,1887,3060,5381,2
旅游,1556566540,13422718,125987,3720,15204,1326,0
旅游,2129780453,5798574,85388,164,419,4560,0
旅游,3265346268,572480,3922,8,40,1086,0
旅游,1175237362,181881,5972,71,251,77,3
旅游,2098794663,490951,3082,9,47,72,0
旅游,1225751246,85828,501,3,9,143,0
旅游,3589156349,467048,5740,66,158,14640,2
旅游,2729360489,806976,18865,387,750,5407,1
旅游,1001003146141,667632,9799,298,472,703,1
旅游,2459986314,524634,15020,317,802,245,0
旅游,3597056660,155013,1229,33,187,940,0
旅游,1039054873,758972,17117,150,216,3460,2
旅游,1527813954,1780169,38595,803,1394,691,0
旅游,2334776951,256631,2159,42,66,63,0
旅游,1794756255,192860,1959,0,14,30,0
旅游,1738528515,583136,3184,14,65,1933,0
旅游,1001004020628,96619,2440,55,232,224,0
旅游,1253724640,269013,3399,13,69,5813,2
旅游,2493516702,4648474,121369,1383,1492,2543,0
旅游,2971844893,64623,552,2,30,331,0
旅游,1746743066,1344031,16664,38,166,983,0
旅游,702308692,173643,1618,49,152,198,0
旅游,992878586,12751235,180804,2669,3183,13867,0
旅游,1511213460,540805,9006,58,131,7633,2
旅游,2148884329,93266,435,1,24,56050,0
旅游,2409118923,73378,827,16,91,88,0
旅游,2292358284,593850,6256,72,169,8360,0
旅游,2422637715,213525,1618,12,23,4169,3
旅游,1251173510,545399,6480,149,151,321,0
旅游,2428985088,2773153,18486,45,143,3863,0
旅游,1733528721,75718,520,4,15,9,0
旅游,1750259068,193500,1656,27,58,67,0
旅游,2116755663,123596,1976,44,101,1610,0
旅游,1625327180,324529,2731,14,97,4148,1
旅游,1001000836126,351122,2771,13,187,1332,0
旅游,164614830,1231640,9500,79,211,356,0
旅游,1001004278231,211554,7619,1335,779,199,0
旅游,1572337878,155580,698,22,30,55,0
旅游,2373157224,624200,3954,10,73,15067,0
旅游,2167906852,2488685,34034,174,335,28653,0
旅游,2855263378,126214,908,21,80,135,0
旅游,3129387512,1053166,7844,63,95,1597,0
旅游,1001004205967,5417590,79187,814,746,623,0
旅游,1547528926,1057919,10972,12,47,163,0
