f_date,cnt_stat_date,s_cnt_stat_date,cnt_stat_week_of_year,cnt_stat_week_day,union_chann_id,cnt
20191030,20190924,2019-09-24,39,2,118,49139
20191030,20191015,2019-10-15,42,2,125,27272
20191030,20191017,2019-10-17,42,4,102,22136
20191030,20191024,2019-10-24,43,4,125,26548
20191030,20190905,2019-09-05,36,4,127,34897
20191030,20191017,2019-10-17,42,4,118,47326
20191030,20190930,2019-09-30,40,1,132,93355
20191030,20191019,2019-10-19,42,6,101,45382
20191030,20191022,2019-10-22,43,2,130,25792
20191030,20191006,2019-10-06,40,7,108,32349
20191030,20191001,2019-10-01,40,2,130,15867
20191030,20191022,2019-10-22,43,2,121,135897
20191030,20190917,2019-09-17,38,2,102,19600
20191030,20190913,2019-09-13,37,5,127,26697
20191030,20190925,2019-09-25,39,3,125,31340
20191030,20191006,2019-10-06,40,7,107,10307
20191030,20191022,2019-10-22,43,2,102,19001
20191030,20190930,2019-09-30,40,1,121,123322
20191030,20191019,2019-10-19,42,6,130,18757
20191030,20190909,2019-09-09,37,1,125,28528
20191030,20191026,2019-10-26,43,6,121,115656
20191030,20190924,2019-09-24,39,2,108,42088
20191030,20190922,2019-09-22,38,7,101,57138
20191030,20190926,2019-09-26,39,4,108,41283
20191030,20190922,2019-09-22,38,7,108,42215
20191030,20190917,2019-09-17,38,2,121,139059
20191030,20191030,2019-10-30,44,3,132,76504
20191030,20190906,2019-09-06,36,5,101,52263
20191030,20191025,2019-10-25,43,5,107,10491
20191030,20191010,2019-10-10,41,4,107,10434
20191030,20191024,2019-10-24,43,4,108,20326
20191030,20191007,2019-10-07,41,1,107,10176
20191030,20190909,2019-09-09,37,1,130,29059
20191030,20190929,2019-09-29,39,7,121,126901
20191030,20191018,2019-10-18,42,5,108,39465
20191030,20191017,2019-10-17,42,4,121,137636
20191030,20190927,2019-09-27,39,5,132,103793
20191030,20191028,2019-10-28,44,1,132,84205
20191030,20190918,2019-09-18,38,3,102,19647
20191030,20190929,2019-09-29,39,7,101,51783
20191030,20190911,2019-09-11,37,3,127,35488
20191030,20190909,2019-09-09,37,1,101,54892
20191030,20191001,2019-10-01,40,2,107,10682
20191030,20190919,2019-09-19,38,4,121,122975
20191030,20190916,2019-09-16,38,1,101,49472
20191030,20190929,2019-09-29,39,7,118,48350
20191030,20191020,2019-10-20,42,7,108,34680
20191030,20190906,2019-09-06,36,5,132,121317
20191030,20191008,2019-10-08,41,2,121,155178
20191030,20190907,2019-09-07,36,6,121,121363
20191030,20191026,2019-10-26,43,6,127,27632
20191030,20191002,2019-10-02,40,3,132,89314
20191030,20191017,2019-10-17,42,4,101,50645
20191030,20190905,2019-09-05,36,4,118,52733
20191030,20191020,2019-10-20,42,7,102,16617
20191030,20191003,2019-10-03,40,4,132,90286
20191030,20191025,2019-10-25,43,5,121,135094
20191030,20190915,2019-09-15,37,7,127,28854
20191030,20190926,2019-09-26,39,4,127,38051
20191030,20190917,2019-09-17,38,2,125,33013
20191030,20190917,2019-09-17,38,2,118,50365
20191030,20190918,2019-09-18,38,3,127,84543
20191030,20190927,2019-09-27,39,5,127,38240
20191030,20191013,2019-10-13,41,7,102,18058
20191030,20190911,2019-09-11,37,3,108,39235
20191030,20191021,2019-10-21,43,1,102,20759
20191030,20190926,2019-09-26,39,4,132,102530
20191030,20191010,2019-10-10,41,4,125,28329
20191030,20190919,2019-09-19,38,4,118,43289
20191030,20190909,2019-09-09,37,1,127,65887
20191030,20191026,2019-10-26,43,6,102,14597
20191030,20191003,2019-10-03,40,4,118,35747
20191030,20190921,2019-09-21,38,6,125,20329
20191030,20191025,2019-10-25,43,5,130,23933
20191030,20190925,2019-09-25,39,3,127,37680
20191030,20190928,2019-09-28,39,6,121,119472
20191030,20191031,2019-10-31,44,4,101,45
20191030,20190923,2019-09-23,39,1,125,29865
20191030,20190925,2019-09-25,39,3,132,108160
20191030,20191007,2019-10-07,41,1,118,40109
20191030,20191021,2019-10-21,43,1,101,47923
20191030,20190909,2019-09-09,37,1,132,135421
20191030,20190923,2019-09-23,39,1,127,35820
20191030,20190930,2019-09-30,40,1,101,54696
20191030,20191029,2019-10-29,44,2,130,23688
20191030,20190918,2019-09-18,38,3,107,11025
20191030,20191015,2019-10-15,42,2,101,49334
20191030,20190921,2019-09-21,38,6,108,34827
20191030,20191011,2019-10-11,41,5,107,10643
20191030,20191005,2019-10-05,40,6,127,31303
20191030,20190921,2019-09-21,38,6,107,8427
20191030,20190907,2019-09-07,36,6,101,46637
20191030,20191011,2019-10-11,41,5,125,28235
20191030,20190920,2019-09-20,38,5,102,16250
20191030,20191025,2019-10-25,43,5,125,27514
20191030,20191014,2019-10-14,42,1,102,20255
20191030,20190912,2019-09-12,37,4,130,26040
20191030,20190922,2019-09-22,38,7,107,14211
20191030,20190909,2019-09-09,37,1,102,23155
20191030,20190919,2019-09-19,38,4,125,27324
20191030,20190923,2019-09-23,39,1,102,20032
20191030,20190927,2019-09-27,39,5,130,28104
20191030,20191018,2019-10-18,42,5,130,24297
20191030,20191004,2019-10-04,40,5,125,15948
20191030,20190914,2019-09-14,37,6,132,89886
20191030,20190910,2019-09-10,37,2,127,35818
20191030,20191003,2019-10-03,40,4,102,18688
20191030,20191030,2019-10-30,44,3,102,15214
20191030,20191017,2019-10-17,42,4,132,94453
20191030,20191001,2019-10-01,40,2,121,90626
20191030,20191015,2019-10-15,42,2,118,47264
20191030,20191009,2019-10-09,41,3,127,34757
20191030,20190907,2019-09-07,36,6,130,21738
20191030,20191014,2019-10-14,42,1,107,10697
20191030,20190907,2019-09-07,36,6,127,31532
20191030,20191019,2019-10-19,42,6,118,41967
20191030,20190928,2019-09-28,39,6,132,101141
20191030,20190909,2019-09-09,37,1,118,55697
20191030,20190918,2019-09-18,38,3,130,25815
20191030,20190928,2019-09-28,39,6,107,11677
20191030,20191017,2019-10-17,42,4,125,28101
20191030,20191029,2019-10-29,44,2,121,136598
20191030,20191013,2019-10-13,41,7,130,16351
20191030,20190915,2019-09-15,37,7,132,98347
20191030,20191021,2019-10-21,43,1,107,11835
20191030,20191022,2019-10-22,43,2,132,85053
20191030,20190926,2019-09-26,39,4,102,22158
20191030,20190916,2019-09-16,38,1,132,101899
20191030,20190907,2019-09-07,36,6,132,107612
20191030,20191008,2019-10-08,41,2,130,24799
20191030,20190924,2019-09-24,39,2,101,50405
20191030,20191023,2019-10-23,43,3,108,19932
20191030,20191004,2019-10-04,40,5,121,104355
20191030,20191002,2019-10-02,40,3,108,31754
20191030,20191005,2019-10-05,40,6,132,94937
20191030,20190916,2019-09-16,38,1,125,31825
20191030,20190927,2019-09-27,39,5,121,139246
20191030,20191012,2019-10-12,41,6,125,26081
20191030,20190918,2019-09-18,38,3,118,48591
20191030,20190929,2019-09-29,39,7,130,24429
20191030,20191007,2019-10-07,41,1,132,95123
20191030,20190912,2019-09-12,37,4,132,99299
20191030,20191008,2019-10-08,41,2,108,37401
20191030,20190919,2019-09-19,38,4,101,44823
20191030,20191020,2019-10-20,42,7,101,43509
20191030,20191024,2019-10-24,43,4,107,10908
20191030,20191009,2019-10-09,41,3,101,51344
20191030,20190919,2019-09-19,38,4,127,31602
20191030,20191001,2019-10-01,40,2,118,37562
20191030,20191012,2019-10-12,41,6,107,10295
20191030,20191028,2019-10-28,44,1,108,19225
20191030,20191008,2019-10-08,41,2,102,20109
20191030,20190912,2019-09-12,37,4,118,56974
20191030,20191021,2019-10-21,43,1,125,27879
20191030,20191010,2019-10-10,41,4,102,19683
20191030,20191011,2019-10-11,41,5,108,35435
20191030,20191006,2019-10-06,40,7,130,16603
20191030,20191031,2019-10-31,44,4,130,20
20191030,20190922,2019-09-22,38,7,102,23096
20191030,20191010,2019-10-10,41,4,121,140488
20191030,20191015,2019-10-15,42,2,102,20878
20191030,20190906,2019-09-06,36,5,118,54295
20191030,20190921,2019-09-21,38,6,101,42925
20191030,20190907,2019-09-07,36,6,107,10799
20191030,20191013,2019-10-13,41,7,107,10048
20191030,20191001,2019-10-01,40,2,108,31094
20191030,20190926,2019-09-26,39,4,107,11550
20191030,20191029,2019-10-29,44,2,127,28402
20191030,20190908,2019-09-08,36,7,118,45400
20191030,20191030,2019-10-30,44,3,107,9838
20191030,20191008,2019-10-08,41,2,127,37333
20191030,20190906,2019-09-06,36,5,127,44842
20191030,20191023,2019-10-23,43,3,101,37903
20191030,20190915,2019-09-15,37,7,118,42448
20191030,20191021,2019-10-21,43,1,108,37834
20191030,20191012,2019-10-12,41,6,132,95137
20191030,20190913,2019-09-13,37,5,107,10567
20191030,20190919,2019-09-19,38,4,132,85550
20191030,20191011,2019-10-11,41,5,102,20409
